证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
000004.SZ,4,2.5,1.5,1.5,5,4,1.5,2,★★☆,★☆,★☆,★★★★★,★★★★,★☆,★★
000028.SZ,28,5,5,4.5,1,3.5,5,2.5,★★★★★,★★★★★,★★★★☆,★,★★★☆,★★★★★,★★☆
000078.SZ,78,2,3.5,0.5,4.5,4,2,4.5,★★,★★★☆,☆,★★★★☆,★★★★,★★,★★★★☆
000150.SZ,150,2,4,1.5,3.5,1,2,4,★★,★★★★,★☆,★★★☆,★,★★,★★★★
000153.SZ,153,2,3.5,1.5,3.5,3.5,2.5,2,★★,★★★☆,★☆,★★★☆,★★★☆,★★☆,★★
000403.SZ,403,2,3.5,2,2.5,2.5,0.5,2.5,★★,★★★☆,★★,★★☆,★★☆,☆,★★☆
000411.SZ,411,4,4.5,1,4.5,5,4.5,3.5,★★★★,★★★★☆,★,★★★★☆,★★★★★,★★★★☆,★★★☆
000423.SZ,423,5,5,5,0.5,1,5,1.5,★★★★★,★★★★★,★★★★★,☆,★,★★★★★,★☆
000513.SZ,513,5,4.5,5,0.5,1.5,5,2,★★★★★,★★★★☆,★★★★★,☆,★☆,★★★★★,★★
000516.SZ,516,5,3.5,5,0.5,2.5,0.5,2,★★★★★,★★★☆,★★★★★,☆,★★☆,☆,★★
000518.SZ,518,4.5,1,3,5,1,0.5,0.5,★★★★☆,★,★★★,★★★★★,★,☆,☆
000538.SZ,538,5,5,5,0.5,1.5,5,2,★★★★★,★★★★★,★★★★★,☆,★☆,★★★★★,★★
000566.SZ,566,1.5,2,2,2,1.5,1.5,3.5,★☆,★★,★★,★★,★☆,★☆,★★★☆
000590.SZ,590,0.5,0.5,2,2,2,1.5,2,☆,☆,★★,★★,★★,★☆,★★
000597.SZ,597,2,3.5,1,4,2.5,3,4,★★,★★★☆,★,★★★★,★★☆,★★★,★★★★
000623.SZ,623,5,4,5,0.5,0.5,5,1.5,★★★★★,★★★★,★★★★★,☆,☆,★★★★★,★☆
000638.SZ,638,0.5,1.5,0.5,3,1.5,1,4,☆,★☆,☆,★★★,★☆,★,★★★★
000650.SZ,650,3,1.5,4,1,4.5,1,1,★★★,★☆,★★★★,★,★★★★☆,★,★
000661.SZ,661,5,5,5,0.5,0.5,5,3.5,★★★★★,★★★★★,★★★★★,☆,☆,★★★★★,★★★☆
000705.SZ,705,2,2.5,2,2,4,2.5,0.5,★★,★★☆,★★,★★,★★★★,★★☆,☆
000710.SZ,710,4.5,1,5,0.5,4.5,1,1.5,★★★★☆,★,★★★★★,☆,★★★★☆,★,★☆
000739.SZ,739,2,3,1.5,2.5,3.5,2,1,★★,★★★,★☆,★★☆,★★★☆,★★,★
000756.SZ,756,2.5,3.5,1.5,3,4,3,2,★★☆,★★★☆,★☆,★★★,★★★★,★★★,★★
000766.SZ,766,1.5,1.5,3,1.5,1.5,1,1,★☆,★☆,★★★,★☆,★☆,★,★
000788.SZ,788,1.5,1.5,1.5,2.5,3.5,1.5,1.5,★☆,★☆,★☆,★★☆,★★★☆,★☆,★☆
000790.SZ,790,0.5,1,1.5,0.5,2,1.5,1.5,☆,★,★☆,☆,★★,★☆,★☆
000813.SZ,813,4.5,0.5,5,0.5,4.5,2,2.5,★★★★☆,☆,★★★★★,☆,★★★★☆,★★,★★☆
000908.SZ,908,2,2.5,2,1.5,1.5,3,2.5,★★,★★☆,★★,★☆,★☆,★★★,★★☆
000915.SZ,915,4,3.5,4,1,2,4,2,★★★★,★★★☆,★★★★,★,★★,★★★★,★★
000919.SZ,919,2.5,1.5,3.5,1,3,3.5,1,★★☆,★☆,★★★☆,★,★★★,★★★☆,★
000931.SZ,931,1,2,1.5,2.5,2,0.5,2.5,★,★★,★☆,★★☆,★★,☆,★★☆
000952.SZ,952,3,4.5,3,1.5,2,0.5,2,★★★,★★★★☆,★★★,★☆,★★,☆,★★
000963.SZ,963,4.5,5,3.5,1.5,4.5,4,1.5,★★★★☆,★★★★★,★★★☆,★☆,★★★★☆,★★★★,★☆
000989.SZ,989,2.5,2,3.5,1,2,2,0.5,★★☆,★★,★★★☆,★,★★,★★,☆
000999.SZ,999,4.5,5,4,1,2,5,1,★★★★☆,★★★★★,★★★★,★,★★,★★★★★,★
002001.SZ,2001,4.5,4.5,5,0.5,1,2,1.5,★★★★☆,★★★★☆,★★★★★,☆,★,★★,★☆
002007.SZ,2007,4.5,1.5,5,0.5,3,1,2,★★★★☆,★☆,★★★★★,☆,★★★,★,★★
002019.SZ,2019,3.5,3.5,4,1,1.5,2,1,★★★☆,★★★☆,★★★★,★,★☆,★★,★
002020.SZ,2020,3,2,3.5,1,2,1.5,1,★★★,★★,★★★☆,★,★★,★☆,★
002022.SZ,2022,3,2.5,3.5,1.5,2.5,2,1.5,★★★,★★☆,★★★☆,★☆,★★☆,★★,★☆
002030.SZ,2030,1.5,1.5,2,3,2,0.5,3,★☆,★☆,★★,★★★,★★,☆,★★★
002038.SZ,2038,5,0.5,5,0.5,4.5,3.5,4,★★★★★,☆,★★★★★,☆,★★★★☆,★★★☆,★★★★
002044.SZ,2044,2.5,3,1.5,4.5,2.5,0.5,2.5,★★☆,★★★,★☆,★★★★☆,★★☆,☆,★★☆
002099.SZ,2099,1.5,1.5,3,1.5,1,1,1.5,★☆,★☆,★★★,★☆,★,★,★☆
002102.SZ,2102,3,3.5,2,4,5,2,0.5,★★★,★★★☆,★★,★★★★,★★★★★,★★,☆
002107.SZ,2107,1,1,1.5,1.5,3.5,1.5,1.5,★,★,★☆,★☆,★★★☆,★☆,★☆
002118.SZ,2118,2,3,2,2,0.5,1,3.5,★★,★★★,★★,★★,☆,★,★★★☆
002166.SZ,2166,1,3,1.5,2,0.5,0.5,3,★,★★★,★☆,★★,☆,☆,★★★
002173.SZ,2173,2,2,3.5,1,0.5,2.5,1.5,★★,★★,★★★☆,★,☆,★★☆,★☆
002198.SZ,2198,1.5,0.5,4,1,3.5,1,1,★☆,☆,★★★★,★,★★★☆,★,★
002219.SZ,2219,0.5,1.5,0.5,3.5,1.5,2,3,☆,★☆,☆,★★★☆,★☆,★★,★★★
002223.SZ,2223,3.5,2,4.5,0.5,3,1.5,1,★★★☆,★★,★★★★☆,☆,★★★,★☆,★
002252.SZ,2252,0.5,0.5,1.5,1,5,4.5,1,☆,☆,★☆,★,★★★★★,★★★★☆,★
002262.SZ,2262,2.5,2.5,2.5,1.5,3.5,1.5,1.5,★★☆,★★☆,★★☆,★☆,★★★☆,★☆,★☆
002275.SZ,2275,4,1,5,0.5,3,1,2,★★★★,★,★★★★★,☆,★★★,★,★★
002287.SZ,2287,4,1.5,4.5,0.5,3,1,1.5,★★★★,★☆,★★★★☆,☆,★★★,★,★☆
002294.SZ,2294,3.5,3.5,4.5,0.5,1.5,2,2,★★★☆,★★★☆,★★★★☆,☆,★☆,★★,★★
002317.SZ,2317,3,2,4,1,2,1.5,1.5,★★★,★★,★★★★,★,★★,★☆,★☆
002332.SZ,2332,2,2.5,2,3,2.5,1.5,3,★★,★★☆,★★,★★★,★★☆,★☆,★★★
002349.SZ,2349,1.5,1.5,2,1.5,1.5,1,1.5,★☆,★☆,★★,★☆,★☆,★,★☆
002365.SZ,2365,3,2.5,4,1,2,1.5,0.5,★★★,★★☆,★★★★,★,★★,★☆,☆
002370.SZ,2370,2.5,1,4,1,3,1.5,2,★★☆,★,★★★★,★,★★★,★☆,★★
002382.SZ,2382,4.5,2,3.5,5,1,3,3.5,★★★★☆,★★,★★★☆,★★★★★,★,★★★,★★★☆
002390.SZ,2390,1.5,2.5,1.5,2.5,2,2,2,★☆,★★☆,★☆,★★☆,★★,★★,★★
002393.SZ,2393,4.5,3,4.5,0.5,1,5,1.5,★★★★☆,★★★,★★★★☆,☆,★,★★★★★,★☆
002399.SZ,2399,3.5,3.5,2,4.5,1,2,3,★★★☆,★★★☆,★★,★★★★☆,★,★★,★★★
002411.SZ,2411,2,3.5,2,2.5,1.5,2,2,★★,★★★☆,★★,★★☆,★☆,★★,★★
002412.SZ,2412,2,3,3,1.5,2,1.5,0.5,★★,★★★,★★★,★☆,★★,★☆,☆
002422.SZ,2422,4,4.5,2.5,2.5,2,4.5,3,★★★★,★★★★☆,★★☆,★★☆,★★,★★★★☆,★★★
002424.SZ,2424,2,2,3.5,1.5,2,0.5,1.5,★★,★★,★★★☆,★☆,★★,☆,★☆
002432.SZ,2432,0.5,0.5,1.5,1.5,1.5,2,1,☆,☆,★☆,★☆,★☆,★★,★
002433.SZ,2433,1.5,2.5,2,1.5,1,3,2,★☆,★★☆,★★,★☆,★,★★★,★★
002435.SZ,2435,2,2,2.5,1.5,2,2.5,1,★★,★★,★★☆,★☆,★★,★★☆,★
002437.SZ,2437,1.5,3,1.5,3,3,1,2,★☆,★★★,★☆,★★★,★★★,★,★★
002462.SZ,2462,4,4.5,2,2.5,4,4.5,2,★★★★,★★★★☆,★★,★★☆,★★★★,★★★★☆,★★
002550.SZ,2550,2,1,4,1,2,0.5,1.5,★★,★,★★★★,★,★★,☆,★☆
002551.SZ,2551,1.5,2,2,1.5,1.5,1.5,2,★☆,★★,★★,★☆,★☆,★☆,★★
002562.SZ,2562,1,1.5,2,1.5,1.5,1,1.5,★,★☆,★★,★☆,★☆,★,★☆
002566.SZ,2566,1.5,1.5,2.5,1.5,1,2,1,★☆,★☆,★★☆,★☆,★,★★,★
002581.SZ,2581,4,1,4.5,1.5,1.5,4.5,3,★★★★,★,★★★★☆,★☆,★☆,★★★★☆,★★★
002589.SZ,2589,3.5,4.5,1.5,3.5,3.5,4,4,★★★☆,★★★★☆,★☆,★★★☆,★★★☆,★★★★,★★★★
002603.SZ,2603,3.5,1,4.5,0.5,3.5,3,1,★★★☆,★,★★★★☆,☆,★★★☆,★★★,★
002626.SZ,2626,4.5,4.5,4.5,1.5,2.5,0.5,1.5,★★★★☆,★★★★☆,★★★★☆,★☆,★★☆,☆,★☆
002644.SZ,2644,1.5,1.5,2.5,1.5,1.5,1,2.5,★☆,★☆,★★☆,★☆,★☆,★,★★☆
002653.SZ,2653,2.5,3.5,2,2.5,3.5,0.5,1.5,★★☆,★★★☆,★★,★★☆,★★★☆,☆,★☆
002675.SZ,2675,2,2,2,3,1,2,2,★★,★★,★★,★★★,★,★★,★★
002680.SZ,2680,3,1.5,4.5,0.5,1.5,0.5,1.5,★★★,★☆,★★★★☆,☆,★☆,☆,★☆
002688.SZ,2688,1.5,3,2,2.5,2,1,2,★☆,★★★,★★,★★☆,★★,★,★★
002693.SZ,2693,1,1,1,2.5,2,1.5,2.5,★,★,★,★★☆,★★,★☆,★★☆
002727.SZ,2727,2.5,4,2,2,3.5,4,1.5,★★☆,★★★★,★★,★★,★★★☆,★★★★,★☆
002728.SZ,2728,2.5,3.5,2.5,2,1.5,2,2.5,★★☆,★★★☆,★★☆,★★,★☆,★★,★★☆
002737.SZ,2737,3.5,3,3.5,1,3.5,2,1,★★★☆,★★★,★★★☆,★,★★★☆,★★,★
002750.SZ,2750,0.5,0.5,2.5,0.5,2.5,1.5,2,☆,☆,★★☆,☆,★★☆,★☆,★★
002755.SZ,2755,1.5,1,2.5,2,2,1.5,2,★☆,★,★★☆,★★,★★,★☆,★★
002758.SZ,2758,2,3,1.5,3.5,4,2.5,2.5,★★,★★★,★☆,★★★☆,★★★★,★★☆,★★☆
002773.SZ,2773,4.5,1.5,4.5,0.5,3.5,2,2,★★★★☆,★☆,★★★★☆,☆,★★★☆,★★,★★
002788.SZ,2788,4.5,5,1.5,4,4.5,4.5,3,★★★★☆,★★★★★,★☆,★★★★,★★★★☆,★★★★☆,★★★
002817.SZ,2817,3.5,0.5,5,0.5,4,4,3,★★★☆,☆,★★★★★,☆,★★★★,★★★★,★★★
300003.SZ,300003,3.5,4.5,3,2,2,1,3.5,★★★☆,★★★★☆,★★★,★★,★★,★,★★★☆
300006.SZ,300006,1.5,2.5,1.5,2.5,2,1,2,★☆,★★☆,★☆,★★☆,★★,★,★★
300009.SZ,300009,2.5,2.5,3.5,1.5,3,0.5,0.5,★★☆,★★☆,★★★☆,★☆,★★★,☆,☆
300015.SZ,300015,3.5,3.5,3,2,4,0.5,1.5,★★★☆,★★★☆,★★★,★★,★★★★,☆,★☆
300016.SZ,300016,2,0.5,4,1,3,1,1.5,★★,☆,★★★★,★,★★★,★,★☆
300026.SZ,300026,2,0.5,4.5,0.5,3.5,1,1,★★,☆,★★★★☆,☆,★★★☆,★,★
300030.SZ,300030,1.5,1.5,2,2,1.5,1.5,2,★☆,★☆,★★,★★,★☆,★☆,★★
300039.SZ,300039,3,0.5,5,0.5,4.5,1,2,★★★,☆,★★★★★,☆,★★★★☆,★,★★
300049.SZ,300049,2,1,3.5,1,2,2,2,★★,★,★★★☆,★,★★,★★,★★
300086.SZ,300086,1,1.5,2.5,2,1.5,1,1,★,★☆,★★☆,★★,★☆,★,★
300108.SZ,300108,1.5,2.5,2,2.5,1,1,3,★☆,★★☆,★★,★★☆,★,★,★★★
300110.SZ,300110,1,1,2,3,2,1,1.5,★,★,★★,★★★,★★,★,★☆
300119.SZ,300119,2,2,3,1.5,1.5,2,1.5,★★,★★,★★★,★☆,★☆,★★,★☆
300122.SZ,300122,4.5,4.5,4.5,3,4,0.5,1.5,★★★★☆,★★★★☆,★★★★☆,★★★,★★★★,☆,★☆
300142.SZ,300142,1.5,1,3,2.5,1,0.5,3,★☆,★,★★★,★★☆,★,☆,★★★
300143.SZ,300143,1,2,2.5,1.5,1,0.5,0.5,★,★★,★★☆,★☆,★,☆,☆
300147.SZ,300147,1.5,2.5,1.5,3,1,2.5,3.5,★☆,★★☆,★☆,★★★,★,★★☆,★★★☆
300149.SZ,300149,3.5,2,3,4.5,1.5,1.5,2,★★★☆,★★,★★★,★★★★☆,★☆,★☆,★★
300158.SZ,300158,1,1.5,2.5,1.5,1.5,2,1,★,★☆,★★☆,★☆,★☆,★★,★
300181.SZ,300181,1,1.5,1.5,2,1,1,1.5,★,★☆,★☆,★★,★,★,★☆
300194.SZ,300194,2,1,3.5,1,3,1.5,0.5,★★,★,★★★☆,★,★★★,★☆,☆
300199.SZ,300199,2.5,1.5,4,1,1,1,2.5,★★☆,★☆,★★★★,★,★,★,★★☆
300204.SZ,300204,1,1,3.5,0.5,1.5,2,2,★,★,★★★☆,☆,★☆,★★,★★
300206.SZ,300206,2,0.5,4,0.5,4,0.5,1,★★,☆,★★★★,☆,★★★★,☆,★
