证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
300233.SZ,300233,3.5,3,4,1,2,4,0.5,★★★☆,★★★,★★★★,★,★★,★★★★,☆
300238.SZ,300238,1.5,1.5,2,3,1,1.5,1.5,★☆,★☆,★★,★★★,★,★☆,★☆
300239.SZ,300239,1,1.5,2,2.5,1.5,0.5,1,★,★☆,★★,★★☆,★☆,☆,★
300244.SZ,300244,3,4.5,1.5,3.5,3,3,3.5,★★★,★★★★☆,★☆,★★★☆,★★★,★★★,★★★☆
300246.SZ,300246,3,3,3,1.5,3.5,2,1,★★★,★★★,★★★,★☆,★★★☆,★★,★
300253.SZ,300253,1.5,1.5,3,1.5,1.5,0.5,1,★☆,★☆,★★★,★☆,★☆,☆,★
300254.SZ,300254,1.5,2,1.5,2.5,3,2,1.5,★☆,★★,★☆,★★☆,★★★,★★,★☆
300255.SZ,300255,1.5,1.5,3,1.5,1.5,1,1.5,★☆,★☆,★★★,★☆,★☆,★,★☆
300267.SZ,300267,2.5,0.5,5,0.5,4.5,2,3,★★☆,☆,★★★★★,☆,★★★★☆,★★,★★★
300273.SZ,300273,1.5,2,1.5,2.5,1,1.5,4,★☆,★★,★☆,★★☆,★,★☆,★★★★
300289.SZ,300289,1.5,1,3.5,1,2,1.5,1,★☆,★,★★★☆,★,★★,★☆,★
300294.SZ,300294,4,3,4,1.5,2,3.5,2,★★★★,★★★,★★★★,★☆,★★,★★★☆,★★
300298.SZ,300298,3.5,1,4.5,1,3.5,1.5,1,★★★☆,★,★★★★☆,★,★★★☆,★☆,★
300314.SZ,300314,2,0.5,4.5,0.5,3.5,1,2,★★,☆,★★★★☆,☆,★★★☆,★,★★
300318.SZ,300318,0.5,2,0.5,4,0.5,0.5,3.5,☆,★★,☆,★★★★,☆,☆,★★★☆
300326.SZ,300326,2,2,3,1.5,1,0.5,1.5,★★,★★,★★★,★☆,★,☆,★☆
300347.SZ,300347,3.5,3.5,4,1.5,2.5,1,1,★★★☆,★★★☆,★★★★,★☆,★★☆,★,★
300357.SZ,300357,5,0.5,5,0.5,5,0.5,5,★★★★★,☆,★★★★★,☆,★★★★★,☆,★★★★★
300358.SZ,300358,1.5,2,2,2,1,2,2,★☆,★★,★★,★★,★,★★,★★
300363.SZ,300363,2,1,3.5,1.5,2,2.5,2,★★,★,★★★☆,★☆,★★,★★☆,★★
300381.SZ,300381,2,3,1.5,3,1.5,2,2.5,★★,★★★,★☆,★★★,★☆,★★,★★☆
300396.SZ,300396,3.5,3,4,1,1.5,1,1.5,★★★☆,★★★,★★★★,★,★☆,★,★☆
300401.SZ,300401,4.5,0.5,5,0.5,3,0.5,3,★★★★☆,☆,★★★★★,☆,★★★,☆,★★★
300404.SZ,300404,1,1.5,2,2.5,1,1,1.5,★,★☆,★★,★★☆,★,★,★☆
300406.SZ,300406,4,0.5,5,0.5,3.5,0.5,3,★★★★,☆,★★★★★,☆,★★★☆,☆,★★★
300434.SZ,300434,3,1.5,4,1,1,4,0.5,★★★,★☆,★★★★,★,★,★★★★,☆
300436.SZ,300436,2,2,2,4.5,1.5,1.5,1,★★,★★,★★,★★★★☆,★☆,★☆,★
300451.SZ,300451,2,2,3,1.5,1.5,1,0.5,★★,★★,★★★,★☆,★☆,★,☆
300452.SZ,300452,2.5,2,4,1,2.5,1,1,★★☆,★★,★★★★,★,★★☆,★,★
300453.SZ,300453,2,2,3,1.5,2.5,1.5,0.5,★★,★★,★★★,★☆,★★☆,★☆,☆
300463.SZ,300463,3.5,4,3.5,1.5,2,1.5,2,★★★☆,★★★★,★★★☆,★☆,★★,★☆,★★
300482.SZ,300482,4,2,4.5,1,3.5,1.5,1.5,★★★★,★★,★★★★☆,★,★★★☆,★☆,★☆
300485.SZ,300485,4.5,0.5,5,0.5,5,4,4.5,★★★★☆,☆,★★★★★,☆,★★★★★,★★★★,★★★★☆
300497.SZ,300497,3.5,4,3.5,1.5,2.5,2,2.5,★★★☆,★★★★,★★★☆,★☆,★★☆,★★,★★☆
300519.SZ,300519,4.5,0.5,5,0.5,5,3,4.5,★★★★☆,☆,★★★★★,☆,★★★★★,★★★,★★★★☆
300529.SZ,300529,4.5,1,5,0.5,3.5,0.5,3,★★★★☆,★,★★★★★,☆,★★★☆,☆,★★★
300534.SZ,300534,1,0.5,4,1,2.5,1,0.5,★,☆,★★★★,★,★★☆,★,☆
300550.SZ,300550,2.5,2.5,3,2,1.5,2.5,2,★★☆,★★☆,★★★,★★,★☆,★★☆,★★
300558.SZ,300558,3,3.5,3,2,2,2,1,★★★,★★★☆,★★★,★★,★★,★★,★
600055.SH,600055,1.5,1,3.5,1,2,1,1,★☆,★,★★★☆,★,★★,★,★
600056.SH,600056,4.5,5,2.5,2.5,4,4.5,3.5,★★★★☆,★★★★★,★★☆,★★☆,★★★★,★★★★☆,★★★☆
600062.SH,600062,4.5,4.5,4.5,1,3,4,0.5,★★★★☆,★★★★☆,★★★★☆,★,★★★,★★★★,☆
600079.SH,600079,3.5,4.5,2,2,1.5,4.5,3,★★★☆,★★★★☆,★★,★★,★☆,★★★★☆,★★★
600080.SH,600080,2,0.5,3.5,1,2.5,2,0.5,★★,☆,★★★☆,★,★★☆,★★,☆
600085.SH,600085,3.5,3,3.5,1.5,2.5,3.5,2.5,★★★☆,★★★,★★★☆,★☆,★★☆,★★★☆,★★☆
600090.SH,600090,4,3,4,1,4,4.5,0.5,★★★★,★★★,★★★★,★,★★★★,★★★★☆,☆
600129.SH,600129,2.5,4,1,4.5,3.5,3.5,3.5,★★☆,★★★★,★,★★★★☆,★★★☆,★★★☆,★★★☆
600161.SH,600161,3.5,1.5,4.5,0.5,3,1,2,★★★☆,★☆,★★★★☆,☆,★★★,★,★★
600195.SH,600195,3.5,3,3.5,1.5,2.5,3.5,2,★★★☆,★★★,★★★☆,★☆,★★☆,★★★☆,★★
600196.SH,600196,4,4.5,3,1.5,1.5,4.5,3,★★★★,★★★★☆,★★★,★☆,★☆,★★★★☆,★★★
600201.SH,600201,4,1.5,5,0.5,0.5,0.5,2.5,★★★★,★☆,★★★★★,☆,☆,☆,★★☆
600211.SH,600211,4.5,3,5,0.5,2,4.5,1,★★★★☆,★★★,★★★★★,☆,★★,★★★★☆,★
600216.SH,600216,4,3,4,1.5,2.5,4,0.5,★★★★,★★★,★★★★,★☆,★★☆,★★★★,☆
600222.SH,600222,2,1,2,4.5,1.5,1.5,2,★★,★,★★,★★★★☆,★☆,★☆,★★
600227.SH,600227,1,1.5,2,2,1.5,0.5,1,★,★☆,★★,★★,★☆,☆,★
600252.SH,600252,1.5,1,3.5,1,2.5,0.5,1,★☆,★,★★★☆,★,★★☆,☆,★
600267.SH,600267,3,3,1,5,1.5,3.5,3.5,★★★,★★★,★,★★★★★,★☆,★★★☆,★★★☆
600272.SH,600272,1.5,2.5,1.5,3,3.5,1.5,2,★☆,★★☆,★☆,★★★,★★★☆,★☆,★★
600276.SH,600276,3.5,2,4.5,1,3.5,2,2,★★★☆,★★,★★★★☆,★,★★★☆,★★,★★
600285.SH,600285,2.5,3,3,1.5,2.5,1.5,1.5,★★☆,★★★,★★★,★☆,★★☆,★☆,★☆
600299.SH,600299,3,1.5,4,1,3,3,2,★★★,★☆,★★★★,★,★★★,★★★,★★
600329.SH,600329,3.5,3.5,3.5,1.5,3,3.5,1,★★★☆,★★★☆,★★★☆,★☆,★★★,★★★☆,★
600332.SH,600332,5,5,4.5,2,3,5,3.5,★★★★★,★★★★★,★★★★☆,★★,★★★,★★★★★,★★★☆
600351.SH,600351,2,2.5,2.5,2,2.5,1.5,1,★★,★★☆,★★☆,★★,★★☆,★☆,★
600380.SH,600380,2.5,2.5,3,1.5,2,3,3.5,★★☆,★★☆,★★★,★☆,★★,★★★,★★★☆
600420.SH,600420,3.5,4,2,2,2.5,3.5,2.5,★★★☆,★★★★,★★,★★,★★☆,★★★☆,★★☆
600422.SH,600422,2.5,3.5,2,2,3.5,3,1.5,★★☆,★★★☆,★★,★★,★★★☆,★★★,★☆
600479.SH,600479,2.5,2.5,2.5,1.5,3,2.5,1.5,★★☆,★★☆,★★☆,★☆,★★★,★★☆,★☆
600488.SH,600488,1.5,1.5,2,2,2,1.5,1,★☆,★☆,★★,★★,★★,★☆,★
600511.SH,600511,5,5,3.5,1.5,4.5,5,2,★★★★★,★★★★★,★★★☆,★☆,★★★★☆,★★★★★,★★
600513.SH,600513,2,1.5,3.5,1.5,3.5,1.5,1,★★,★☆,★★★☆,★☆,★★★☆,★☆,★
600518.SH,600518,3.5,4,3,1.5,1.5,3.5,4,★★★☆,★★★★,★★★,★☆,★☆,★★★☆,★★★★
600521.SH,600521,2,3,2,2.5,2,2,2,★★,★★★,★★,★★☆,★★,★★,★★
600530.SH,600530,1,1.5,3,1,0.5,0.5,0.5,★,★☆,★★★,★,☆,☆,☆
600535.SH,600535,4,4.5,3,1.5,2.5,4,3,★★★★,★★★★☆,★★★,★☆,★★☆,★★★★,★★★
600538.SH,600538,0.5,0.5,3,1,2.5,1,1.5,☆,☆,★★★,★,★★☆,★,★☆
600557.SH,600557,3.5,3.5,3.5,1,2,3.5,1,★★★☆,★★★☆,★★★☆,★,★★,★★★☆,★
600566.SH,600566,5,5,5,0.5,4,4.5,1,★★★★★,★★★★★,★★★★★,☆,★★★★,★★★★☆,★
600572.SH,600572,2.5,3,2,2,3,0.5,2,★★☆,★★★,★★,★★,★★★,☆,★★
600587.SH,600587,4.5,4.5,2,5,2,4.5,3.5,★★★★☆,★★★★☆,★★,★★★★★,★★,★★★★☆,★★★☆
600594.SH,600594,2,3,2.5,1.5,2,3.5,1.5,★★,★★★,★★☆,★☆,★★,★★★☆,★☆
600613.SH,600613,1.5,1,3,1,2,2,0.5,★☆,★,★★★,★,★★,★★,☆
600624.SH,600624,1,2,1,3.5,1.5,1,3,★,★★,★,★★★☆,★☆,★,★★★
600645.SH,600645,5,1.5,5,5,0.5,0.5,0.5,★★★★★,★☆,★★★★★,★★★★★,☆,☆,☆
600664.SH,600664,1.5,2,1.5,2,3,1.5,2,★☆,★★,★☆,★★,★★★,★☆,★★
600671.SH,600671,3.5,4.5,1.5,4.5,4.5,0.5,3.5,★★★☆,★★★★☆,★☆,★★★★☆,★★★★☆,☆,★★★☆
600713.SH,600713,2.5,4,0.5,4.5,4.5,3.5,3.5,★★☆,★★★★,☆,★★★★☆,★★★★☆,★★★☆,★★★☆
600721.SH,600721,0.5,1,3,1,1,0.5,0.5,☆,★,★★★,★,★,☆,☆
600750.SH,600750,4.5,1,5,0.5,3.5,4,2,★★★★☆,★,★★★★★,☆,★★★☆,★★★★,★★
600763.SH,600763,4.5,4.5,4.5,1.5,4.5,0.5,1.5,★★★★☆,★★★★☆,★★★★☆,★☆,★★★★☆,☆,★☆
600767.SH,600767,0.5,1,0.5,1.5,1.5,1.5,2,☆,★,☆,★☆,★☆,★☆,★★
600771.SH,600771,3.5,2,4.5,1,2,0.5,1,★★★☆,★★,★★★★☆,★,★★,☆,★
600781.SH,600781,5,4.5,4.5,5,1.5,4.5,3.5,★★★★★,★★★★☆,★★★★☆,★★★★★,★☆,★★★★☆,★★★☆
600789.SH,600789,2,2.5,1.5,3.5,2,2,2.5,★★,★★☆,★☆,★★★☆,★★,★★,★★☆
600812.SH,600812,1.5,3,0.5,4.5,2,2,3.5,★☆,★★★,☆,★★★★☆,★★,★★,★★★☆
600829.SH,600829,2,3.5,1,2,4,2.5,2,★★,★★★☆,★,★★,★★★★,★★☆,★★
600833.SH,600833,2,2,2,2,4,2,1.5,★★,★★,★★,★★,★★★★,★★,★☆
600851.SH,600851,1,1.5,2.5,1.5,1.5,0.5,0.5,★,★☆,★★☆,★☆,★☆,☆,☆
600867.SH,600867,3,1.5,4.5,0.5,2.5,0.5,0.5,★★★,★☆,★★★★☆,☆,★★☆,☆,☆
600976.SH,600976,3.5,3.5,3,1.5,3.5,4,0.5,★★★☆,★★★☆,★★★,★☆,★★★☆,★★★★,☆
600993.SH,600993,3,1,4,0.5,4,3.5,1.5,★★★,★,★★★★,☆,★★★★,★★★☆,★☆
600998.SH,600998,4,4.5,1.5,3.5,4,4.5,3.5,★★★★,★★★★☆,★☆,★★★☆,★★★★,★★★★☆,★★★☆
601607.SH,601607,5,5,3,2,4,5,3,★★★★★,★★★★★,★★★,★★,★★★★,★★★★★,★★★
603108.SH,603108,2.5,4,1.5,3.5,3,2.5,3,★★☆,★★★★,★☆,★★★☆,★★★,★★☆,★★★
603168.SH,603168,2,0.5,4.5,0.5,3,2.5,1.5,★★,☆,★★★★☆,☆,★★★,★★☆,★☆
603222.SH,603222,1.5,3,1.5,3.5,2,1,2.5,★☆,★★★,★☆,★★★☆,★★,★,★★☆
603309.SH,603309,2,1.5,3.5,1,3,2,0.5,★★,★☆,★★★☆,★,★★★,★★,☆
603368.SH,603368,5,5,3.5,1.5,3.5,5,2.5,★★★★★,★★★★★,★★★☆,★☆,★★★☆,★★★★★,★★☆
603456.SH,603456,1,1.5,2,1,2,2,0.5,★,★☆,★★,★,★★,★★,☆
603520.SH,603520,3.5,4.5,2,2,1.5,3.5,3.5,★★★☆,★★★★☆,★★,★★,★☆,★★★☆,★★★☆
603566.SH,603566,3,1,4.5,0.5,1.5,1.5,1.5,★★★,★,★★★★☆,☆,★☆,★☆,★☆
603567.SH,603567,3,3,3.5,1,1,2.5,2,★★★,★★★,★★★☆,★,★,★★☆,★★
603658.SH,603658,4.5,4.5,4.5,1,3.5,0.5,0.5,★★★★☆,★★★★☆,★★★★☆,★,★★★☆,☆,☆
603669.SH,603669,3.5,1.5,4.5,1,4,1.5,1,★★★☆,★☆,★★★★☆,★,★★★★,★☆,★
603718.SH,603718,1,2,2,2,0.5,0.5,2,★,★★,★★,★★,☆,☆,★★
603883.SH,603883,4.5,5,3,2.5,4,4.5,2.5,★★★★☆,★★★★★,★★★,★★☆,★★★★,★★★★☆,★★☆
603939.SH,603939,4.5,4.5,3,2,3.5,4,2,★★★★☆,★★★★☆,★★★,★★,★★★☆,★★★★,★★
603998.SH,603998,1.5,2,2,2,3,1.5,1,★☆,★★,★★,★★,★★★,★☆,★
